JobNum,LotNum,DrawNum,PartDescription,TranQty,QtyCompleted,PhaseID,OrigProdQty,AQLAmount,AQLforTranQty
3561-01-1,NV10200,1541900,5.5 Poly Tulip 5.5 Ti,27.0,549.0,Tulip,500.0,29.0,1.42623
3561-01-1,NV10458,1541901,5.5mm Load Ring Ti,27.0,550.0,Load Ring,500.0,29.0,1.423636
3561-01-1,NV14629,1541902,"Deformity Poly Split Ring, Ti",27.0,604.0,Clip/Split Ring,500.0,29.0,1.296358
3561-01-1,NV14639,1567720,6.5 x 45mm Fenestrated Shank,27.0,55.0,Shank,25.0,13.0,6.381818
3561-02-1,NV10200,1541900,5.5 Poly Tulip 5.5 Ti,27.0,549.0,Tulip,500.0,29.0,1.42623
3561-02-1,NV10458,1541901,5.5mm Load Ring Ti,27.0,550.0,Load Ring,500.0,29.0,1.423636
3561-02-1,NV13899,1541902,"Deformity Poly Split Ring, Ti",20.0,550.0,Clip/Split Ring,500.0,29.0,1.054545
3561-02-1,NV14430,1567720,6.5 x 50mm Fenestrated Shank,27.0,83.0,Shank,25.0,13.0,4.228916
3561-03-1,NV11089,1563206,Precept Solid Ring Threaded,55.0,1098.0,Clip/Split Ring,1000.0,34.0,1.703097
3561-03-1,NV11322,1553275,5.5 Precept Load Ring,55.0,550.0,Load Ring,500.0,29.0,2.9
3561-03-1,NV11406,1553262,5.5mm Precept  Polyaxial Tulip,55.0,550.0,Tulip,500.0,29.0,2.9
3561-03-1,NV11871,1557480,6.5 x 50mm Precept Poly SR Shank,55.0,220.0,Shank,200.0,20.0,5.0
3561-04-1,NV12112,1582025,Precept Poly C.R. Tulip,46.0,550.0,Tulip,200.0,20.0,1.672727
3561-04-1,NV12295,1590480,7.5 x 45mm Precept Screw Shank,46.0,303.0,Shank,275.0,20.0,3.036304
3561-04-1,NV14164,1582023,Precept Poly C.R. Load Ring,46.0,549.0,Load Ring,500.0,29.0,2.429872
3561-04-1,NV14211,1582022,Precept Poly Clip Ring,46.0,1320.0,Clip/Split Ring,1000.0,34.0,1.184848
3561-05-1,NV12269,1614500,5.5 x 35mm PRECEPT Fenestrated Screw Shank,27.0,192.0,Shank,175.0,20.0,2.8125
3561-05-1,NV12289,1582025,Precept Poly C.R. Tulip,27.0,720.0,Tulip,500.0,29.0,1.0875
3561-05-1,NV14435,1582023,Precept Poly C.R. Load Ring,29.0,550.0,Load Ring,500.0,29.0,1.529091
3561-05-1,NV14641,1582022,Precept Poly Clip Ring,27.0,1100.0,Clip/Split Ring,1000.0,34.0,0.834545
3561-06-1,NV12270,1614500,5.5 x 40mm PRECEPT Fenestrated Screw Shank,129.0,276.0,Shank,250.0,20.0,9.347826
3561-06-1,NV12289,1582025,Precept Poly C.R. Tulip,129.0,720.0,Tulip,500.0,29.0,5.195833
3561-06-1,NV14641,1582022,Precept Poly Clip Ring,129.0,1100.0,Clip/Split Ring,1000.0,34.0,3.987273
3561-06-1,NV14642,1582023,Precept Poly C.R. Load Ring,129.0,580.0,Load Ring,500.0,29.0,6.45
3561-07-1,NV12289,1582025,Precept Poly C.R. Tulip,63.0,720.0,Tulip,500.0,29.0,2.5375
3561-07-1,NV12332,1614500,5.5 x 45mm PRECEPT Fenestrated Screw Shank,63.0,275.0,Shank,250.0,20.0,4.581818
3561-07-1,NV14641,1582022,Precept Poly Clip Ring,63.0,1100.0,Clip/Split Ring,1000.0,34.0,1.947273
3561-07-1,NV14642,1582023,Precept Poly C.R. Load Ring,67.0,580.0,Load Ring,500.0,29.0,3.35
3561-07-2,NV14644,1614500,5.5 x 45mm PRECEPT Fenestrated Screw Shank,31.0,193.0,Shank,80.0,13.0,2.088083
3561-07-2,NV14657,1582022,Precept Poly Clip Ring,31.0,1637.0,Clip/Split Ring,1000.0,34.0,0.643861
3561-07-2,NV14670,1582025,Precept Poly C.R. Tulip,31.0,650.0,Tulip,500.0,29.0,1.383077
3561-07-2,NV15213,1582023,Precept Poly C.R. Load Ring,31.0,579.0,Load Ring,500.0,29.0,1.552677
3561-07-3,NV12111,1582025,Precept Poly C.R. Tulip,36.0,540.0,Tulip,500.0,29.0,1.933333
3561-07-3,NV12886,1614500,5.5 x 45mm PRECEPT Fenestrated Screw Shank,30.0,275.0,Shank,250.0,20.0,2.181818
3561-07-3,NV14641,1582022,Precept Poly Clip Ring,30.0,1100.0,Clip/Split Ring,1000.0,34.0,0.927273
3561-07-3,nv15275,1582023,Precept Poly C.R. Load Ring,30.0,551.0,Load Ring,500.0,29.0,1.578947
3561-07-4,NV12289,1582025,Precept Poly C.R. Tulip,70.0,720.0,Tulip,500.0,29.0,2.819444
3561-07-4,NV14641,1582022,Precept Poly Clip Ring,70.0,1100.0,Clip/Split Ring,1000.0,34.0,2.163636
3561-07-4,nv14644,1614500,5.5 x 45mm PRECEPT Fenestrated Screw Shank,70.0,193.0,Shank,80.0,13.0,4.715026
3561-07-4,nv15275,1582023,Precept Poly C.R. Load Ring,70.0,551.0,Load Ring,500.0,29.0,3.684211
3561-07-5,NV11961,1582025,Precept Poly C.R. Tulip,12.0,550.0,Tulip,500.0,29.0,0.632727
3561-07-5,NV12333,1614500,5.5 x 45mm PRECEPT Fenestrated Screw Shank,12.0,108.0,Shank,100.0,13.0,1.444444
3561-07-5,NV14641,1582022,Precept Poly Clip Ring,12.0,1100.0,Clip/Split Ring,1000.0,34.0,0.370909
3561-07-5,nv15275,1582023,Precept Poly C.R. Load Ring,12.0,551.0,Load Ring,500.0,29.0,0.631579
3561-08-1,NV12108,1582025,Precept Poly C.R. Tulip,66.0,550.0,Tulip,500.0,29.0,3.48
3561-08-1,NV13002,1614500,5.5 x 55mm PRECEPT Fenestrated Screw Shank,66.0,66.0,Shank,60.0,13.0,13.0
3561-08-1,NV14211,1582022,Precept Poly Clip Ring,66.0,1320.0,Clip/Split Ring,1000.0,34.0,1.7
3561-08-1,NV14435,1582023,Precept Poly C.R. Load Ring,66.0,550.0,Load Ring,500.0,29.0,3.48
3561-09-1,NV12289,1582025,Precept Poly C.R. Tulip,28.0,720.0,Tulip,500.0,29.0,1.127778
3561-09-1,NV14419,1614560,6.5 x 35mm PRECEPT Fenestrated Screw Shank,28.0,28.0,Shank,25.0,13.0,13.0
3561-09-1,NV14641,1582022,Precept Poly Clip Ring,28.0,1100.0,Clip/Split Ring,1000.0,34.0,0.865455
3561-09-1,nv15275,1582023,Precept Poly C.R. Load Ring,28.0,551.0,Load Ring,500.0,29.0,1.473684
3561-10-1,NV12289,1582025,Precept Poly C.R. Tulip,105.0,720.0,Tulip,500.0,29.0,4.229167
3561-10-1,nv14646,1614560,6.5 x 45mm PRECEPT Fenestrated Screw Shank,105.0,215.0,Shank,95.0,13.0,6.348837
3561-10-1,nv14657,1582022,Precept Poly Clip Ring,105.0,1637.0,Clip/Split Ring,1000.0,34.0,2.180819
