JobNum,LotNum,DrawNum,PartDescription,TranQty,QtyCompleted,PhaseID,OrigProdQty,AQLAmount,AQLforTranQty
003694-10-1,nv14538,1906675,RELINE CERVICAL CLIP RING FORMED,22.0,1181.0,Clip/Split Ring,1000.0,34.0,0.633362
003694-10-1,nv14945,1906670,RELINE CERVICAL POLYAXIAL SCREW LOAD RING,22.0,1099.0,Load Ring,1000.0,34.0,0.680619
003694-10-1,nv15679,1906XXX,6.5 X 24mm Reline Cervical Polyaxial Screw Shank,22.0,22.0,Shank,25.0,13.0,13.0
003694-10-1,nv15682,1906671,Reline Cervical MA Screw Tulip,27.0,550.0,Tulip,500.0,29.0,1.423636
003694-1-1,NV14538,1906675,RELINE CERVICAL CLIP RING FORMED,184.0,1181.0,Clip/Split Ring,1000.0,34.0,5.297206
003694-1-1,NV14654,1906671,Reline Cervical MA Screw Tulip,184.0,566.0,Tulip,500.0,29.0,9.427562
003694-1-1,NV14724,1906670,RELINE CERVICAL POLYAXIAL SCREW LOAD RING,184.0,550.0,Load Ring,500.0,29.0,9.701818
003694-1-1,NV15667,1906XXX,3.5 x 14mm Reline Cervical Polyaxial Screw Shank,184.0,275.0,Shank,250.0,20.0,13.381818
003694-11-1,NV14413,1906675,RELINE CERVICAL CLIP RING FORMED,28.0,1089.0,Clip/Split Ring,1000.0,34.0,0.874197
003694-11-1,NV14959,1906670,RELINE CERVICAL POLYAXIAL SCREW LOAD RING,28.0,608.0,Load Ring,550.0,34.0,1.565789
003694-11-1,NV15672,1906XXX,5.0 x 30mm Reline Cervical Polyaxial Screw Shank,28.0,28.0,Shank,25.0,13.0,13.0
003694-11-1,nv15682,1906671,Reline Cervical MA Screw Tulip,28.0,550.0,Tulip,500.0,29.0,1.476364
003694-1-2,nv14281,1906XXX,3.5 x 14mm Reline Cervical Polyaxial Screw Shank,51.0,279.0,Shank,250.0,20.0,3.655914
003694-1-2,NV14538,1906675,RELINE CERVICAL CLIP RING FORMED,51.0,1181.0,Clip/Split Ring,1000.0,34.0,1.468247
003694-1-2,nv14654,1906671,Reline Cervical MA Screw Tulip,51.0,566.0,Tulip,500.0,29.0,2.613074
